figure_panel,tissue_dataset,regulator,heme_gene,spearman_R,p_value,data_source
Figure_4B,CHOL_Normal,H2AFZ,UROD,0.42,0.27,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CHOL_Normal,H2AFZ,UROS,0.35,0.36,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,COAD_Normal,ATAD2,ALAD,-0.16,0.33,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,COAD_Normal,ATAD2,ALAS1,0.12,0.45,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,COAD_Normal,ATAD2,CPOX,0.52,0.00047,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,COAD_Normal,ATAD2,FECH,0.01,0.95,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,COAD_Normal,ATAD2,HMBS,0.63,1.2e-05,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,COAD_Normal,ATAD2,PPOX,0.061,0.71,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,COAD_Normal,ATAD2,UROD,-0.24,0.12,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,COAD_Normal,ATAD2,UROS,0.098,0.54,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,COAD_Normal,BRD2,ALAD,0.066,0.68,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,COAD_Normal,BRD2,ALAS1,0.2,0.21,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,COAD_Normal,BRD2,CPOX,0.47,0.0021,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,COAD_Normal,BRD2,FECH,0.08,0.62,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,COAD_Normal,BRD2,HMBS,0.27,0.094,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,COAD_Normal,BRD2,PPOX,0.22,0.16,GEPIA2 GTEx normal tissue RNA-seq
