figure_panel,tissue_dataset,regulator,heme_gene,spearman_R,p_value,data_source
Figure_4B,UCEC_Normal,BRD4,UROS,-0.58,0.043,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,UCEC_Normal,H2AFZ,ALAD,0.63,0.025,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,UCEC_Normal,H2AFZ,ALAS1,0.22,0.47,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,UCEC_Normal,H2AFZ,CPOX,0.34,0.25,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,UCEC_Normal,H2AFZ,FECH,0.46,0.12,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,UCEC_Normal,H2AFZ,HMBS,-0.12,0.71,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,UCEC_Normal,H2AFZ,PPOX,-0.63,0.025,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,UCEC_Normal,H2AFZ,UROD,0.43,0.14,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,UCEC_Normal,H2AFZ,UROS,-0.41,0.17,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,POOLED_MEAN_22_tissues,ATAD2,ALAD,0.0141,0.00019,Pooled mean across 22 GTEx normal tissues
Figure_4B,POOLED_MEAN_22_tissues,ATAD2,ALAS1,-0.0053,0.00088,Pooled mean across 22 GTEx normal tissues
Figure_4B,POOLED_MEAN_22_tissues,ATAD2,CPOX,0.4223,0.0,Pooled mean across 22 GTEx normal tissues
Figure_4B,POOLED_MEAN_22_tissues,ATAD2,FECH,0.2343,0.0015,Pooled mean across 22 GTEx normal tissues
Figure_4B,POOLED_MEAN_22_tissues,ATAD2,HMBS,0.1481,0.0011,Pooled mean across 22 GTEx normal tissues
Figure_4B,POOLED_MEAN_22_tissues,ATAD2,PPOX,0.2812,0.00014,Pooled mean across 22 GTEx normal tissues
Figure_4B,POOLED_MEAN_22_tissues,ATAD2,UROD,-0.021,0.00081,Pooled mean across 22 GTEx normal tissues
Figure_4B,POOLED_MEAN_22_tissues,ATAD2,UROS,-0.0045,0.0027,Pooled mean across 22 GTEx normal tissues
Figure_4B,POOLED_MEAN_22_tissues,BRD2,ALAD,0.1106,0.00029,Pooled mean across 22 GTEx normal tissues
Figure_4B,POOLED_MEAN_22_tissues,BRD2,ALAS1,0.2267,0.00037,Pooled mean across 22 GTEx normal tissues
Figure_4B,POOLED_MEAN_22_tissues,BRD2,CPOX,0.3908,0.00033,Pooled mean across 22 GTEx normal tissues
Figure_4B,POOLED_MEAN_22_tissues,BRD2,FECH,0.2962,0.0096,Pooled mean across 22 GTEx normal tissues
Figure_4B,POOLED_MEAN_22_tissues,BRD2,HMBS,0.0448,0.0017,Pooled mean across 22 GTEx normal tissues
Figure_4B,POOLED_MEAN_22_tissues,BRD2,PPOX,0.327,0.00011,Pooled mean across 22 GTEx normal tissues
Figure_4B,POOLED_MEAN_22_tissues,BRD2,UROD,-0.008,0.00012,Pooled mean across 22 GTEx normal tissues
Figure_4B,POOLED_MEAN_22_tissues,BRD2,UROS,0.0047,0.0,Pooled mean across 22 GTEx normal tissues
Figure_4B,POOLED_MEAN_22_tissues,BRD4,ALAD,0.2123,0.00031,Pooled mean across 22 GTEx normal tissues
Figure_4B,POOLED_MEAN_22_tissues,BRD4,ALAS1,0.1771,0.00021,Pooled mean across 22 GTEx normal tissues
Figure_4B,POOLED_MEAN_22_tissues,BRD4,CPOX,0.4207,0.0019,Pooled mean across 22 GTEx normal tissues
Figure_4B,POOLED_MEAN_22_tissues,BRD4,FECH,0.382,0.00043,Pooled mean across 22 GTEx normal tissues
Figure_4B,POOLED_MEAN_22_tissues,BRD4,HMBS,-0.045,0.00034,Pooled mean across 22 GTEx normal tissues
Figure_4B,POOLED_MEAN_22_tissues,BRD4,PPOX,0.2056,0.0025,Pooled mean across 22 GTEx normal tissues
Figure_4B,POOLED_MEAN_22_tissues,BRD4,UROD,0.0229,0.0,Pooled mean across 22 GTEx normal tissues
Figure_4B,POOLED_MEAN_22_tissues,BRD4,UROS,-0.0645,0.0,Pooled mean across 22 GTEx normal tissues
Figure_4B,POOLED_MEAN_22_tissues,H2AFZ,ALAD,-0.2229,0.002,Pooled mean across 22 GTEx normal tissues
Figure_4B,POOLED_MEAN_22_tissues,H2AFZ,ALAS1,0.0723,0.0021,Pooled mean across 22 GTEx normal tissues
Figure_4B,POOLED_MEAN_22_tissues,H2AFZ,CPOX,0.2495,0.00054,Pooled mean across 22 GTEx normal tissues
Figure_4B,POOLED_MEAN_22_tissues,H2AFZ,FECH,0.1715,0.0031,Pooled mean across 22 GTEx normal tissues
Figure_4B,POOLED_MEAN_22_tissues,H2AFZ,HMBS,0.4866,0.00012,Pooled mean across 22 GTEx normal tissues
Figure_4B,POOLED_MEAN_22_tissues,H2AFZ,PPOX,0.1068,0.00024,Pooled mean across 22 GTEx normal tissues
Figure_4B,POOLED_MEAN_22_tissues,H2AFZ,UROD,0.4806,0.0033,Pooled mean across 22 GTEx normal tissues
Figure_4B,POOLED_MEAN_22_tissues,H2AFZ,UROS,0.3814,0.00026,Pooled mean across 22 GTEx normal tissues
