"phase","analysis","gene1","gene2","dataset","R","p_value","status","path"
"ph2","chromatin_vs_heme","ATAD2","CPOX","PCPG_Tumor",0.42,"4.7e-09","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_CPOX__PCPG_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","CPOX","PRAD_Tumor",0.56,"8.8e-43","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_CPOX__PRAD_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","CPOX","READ_Tumor",0.66,"9.8e-13","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_CPOX__READ_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","CPOX","SARC_Tumor",0.53,"5.1e-20","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_CPOX__SARC_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","CPOX","SKCM_Tumor",0.55,"1.6e-38","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_CPOX__SKCM_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","CPOX","STAD_Tumor",0.53,"4.9e-31","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_CPOX__STAD_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","CPOX","TGCT_Tumor",0.31,"0.00029","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_CPOX__TGCT_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","CPOX","THCA_Tumor",0.45,"2.2e-26","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_CPOX__THCA_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","CPOX","THYM_Tumor",0.61,"1.6e-13","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_CPOX__THYM_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","CPOX","UCEC_Tumor",0.5,"2.7e-12","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_CPOX__UCEC_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","CPOX","UCS_Tumor",0.36,"0.0058","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_CPOX__UCS_Tumor__spearman.pdf"
